candidate_skills,years_experience,education_level,past_job_titles,certifications,expected_salary,candidate_location,job_title,required_skills,min_experience,job_description,budgeted_salary_min,budgeted_salary_max,job_location,is_fit
"React, Docker, Machine Learning, NLP, Deep Learning",2,PhD,"Software Developer, Backend Engineer",AWS Certified,120893,San Francisco,ML Engineer,"Python, Data Analysis, TensorFlow",5,Looking for a motivated individual with strong technical and problem-solving skills.,74266,114355,San Francisco,0
"TensorFlow, Python, NLP",3,High School,"Backend Engineer, ML Engineer","Coursera NLP, DataCamp DS",69419,Austin,Software Developer,"Docker, Kubernetes, Deep Learning",4,Looking for a motivated individual with strong technical and problem-solving skills.,81482,116494,Austin,0
"TensorFlow, Deep Learning, NLP",12,Bachelor's,"Data Scientist, Backend Engineer",DataCamp DS,58647,Austin,AI Researcher,"Machine Learning, NLP, Kubernetes, Python",5,Looking for a motivated individual with strong technical and problem-solving skills.,63238,118964,Remote,0
"Node.js, TensorFlow, AWS, Deep Learning, Docker, Data Analysis",8,High School,Software Developer,None,110714,New York,Software Developer,"Docker, Machine Learning, Kubernetes, Java, Python",8,Looking for a motivated individual with strong technical and problem-solving skills.,66996,128392,New York,0
"NLP, Kubernetes, React",2,Master's,Data Scientist,AWS Certified,149034,Seattle,AI Researcher,"TensorFlow, Kubernetes, Machine Learning, SQL, Node.js",0,Looking for a motivated individual with strong technical and problem-solving skills.,80547,117114,San Francisco,0
"Python, AWS, Kubernetes",10,Master's,"AI Researcher, Software Developer",Coursera NLP,117090,San Francisco,Data Scientist,"Java, TensorFlow, Docker",0,Looking for a motivated individual with strong technical and problem-solving skills.,71549,115056,Remote,0
"React, Java, Kubernetes, Docker, Machine Learning",1,High School,ML Engineer,Google ML Certificate,146916,Austin,AI Researcher,"Java, Docker, Machine Learning",9,Looking for a motivated individual with strong technical and problem-solving skills.,74742,116950,New York,0
"Kubernetes, Pandas, Docker",11,High School,"ML Engineer, Data Scientist","Google ML Certificate, AWS Certified",100713,Seattle,ML Engineer,"Kubernetes, AWS, Data Analysis, Python, NLP",8,Looking for a motivated individual with strong technical and problem-solving skills.,85619,140749,New York,0
"Docker, Pandas, Java, Node.js",11,Bachelor's,AI Researcher,"AWS Certified, Google ML Certificate",138578,New York,Software Developer,"NLP, SQL, AWS",1,Looking for a motivated individual with strong technical and problem-solving skills.,99268,108662,Austin,0
"Kubernetes, Java, Machine Learning, SQL, Python",3,PhD,"AI Researcher, Backend Engineer",DataCamp DS,57784,Remote,Software Developer,"Docker, Machine Learning, NLP",10,Looking for a motivated individual with strong technical and problem-solving skills.,83459,159373,Austin,0
"Python, Data Analysis, TensorFlow",8,Bachelor's,"Backend Engineer, Data Scientist","None, Google ML Certificate",124269,Remote,ML Engineer,"Data Analysis, Kubernetes, Node.js, Deep Learning, NLP",5,Looking for a motivated individual with strong technical and problem-solving skills.,81202,135102,Remote,0
"Data Analysis, SQL, AWS, Java",1,High School,ML Engineer,Google ML Certificate,119207,San Francisco,Software Developer,"Deep Learning, Pandas, Data Analysis, TensorFlow, Docker",8,Looking for a motivated individual with strong technical and problem-solving skills.,76172,151860,Remote,0
"AWS, TensorFlow, Machine Learning, Deep Learning, Docker",11,PhD,"Backend Engineer, AI Researcher","DataCamp DS, None",52267,Austin,ML Engineer,"NLP, Docker, Kubernetes",3,Looking for a motivated individual with strong technical and problem-solving skills.,60057,133722,San Francisco,0
"React, AWS, Deep Learning, Java, SQL",0,Bachelor's,"AI Researcher, Backend Engineer",None,76324,Remote,Data Scientist,"SQL, AWS, Java",5,Looking for a motivated individual with strong technical and problem-solving skills.,92323,136687,San Francisco,0
"SQL, AWS, Java",2,PhD,"Software Developer, Data Scientist","AWS Certified, Google ML Certificate",62058,New York,Data Scientist,"Kubernetes, NLP, Machine Learning",7,Looking for a motivated individual with strong technical and problem-solving skills.,98026,113680,Seattle,0
"React, Machine Learning, Kubernetes, NLP, Pandas",4,PhD,AI Researcher,Coursera NLP,55761,San Francisco,Data Scientist,"Machine Learning, Docker, NLP",6,Looking for a motivated individual with strong technical and problem-solving skills.,68598,127387,Remote,0
"Pandas, Data Analysis, Docker, Machine Learning",4,High School,"Backend Engineer, Data Scientist",Google ML Certificate,50336,Remote,Data Scientist,"Machine Learning, Python, Node.js, NLP",6,Looking for a motivated individual with strong technical and problem-solving skills.,74023,103066,Remote,0
"Machine Learning, TensorFlow, Deep Learning",6,High School,ML Engineer,"AWS Certified, None",139465,New York,Backend Engineer,"Data Analysis, Java, Deep Learning, NLP, SQL",2,Looking for a motivated individual with strong technical and problem-solving skills.,69214,107069,Austin,0
"React, Deep Learning, Python, SQL, TensorFlow",11,PhD,AI Researcher,AWS Certified,87169,San Francisco,Software Developer,"AWS, Machine Learning, Kubernetes",9,Looking for a motivated individual with strong technical and problem-solving skills.,76988,110284,Remote,0
"Data Analysis, AWS, NLP, Docker",4,Master's,"Software Developer, Data Scientist","Google ML Certificate, Coursera NLP",148256,Austin,ML Engineer,"React, Node.js, SQL",8,Looking for a motivated individual with strong technical and problem-solving skills.,81278,137488,New York,0
"Data Analysis, Deep Learning, Docker, Machine Learning, AWS",12,Master's,"Software Developer, AI Researcher",None,119629,Remote,Backend Engineer,"Docker, TensorFlow, NLP, Pandas, Java",7,Looking for a motivated individual with strong technical and problem-solving skills.,99412,114589,New York,0
"Python, Docker, Node.js, Data Analysis, SQL",4,PhD,Software Developer,None,121124,San Francisco,AI Researcher,"React, Data Analysis, TensorFlow",6,Looking for a motivated individual with strong technical and problem-solving skills.,95290,100299,Austin,0
"Docker, Python, Data Analysis, NLP",8,High School,"Software Developer, ML Engineer","Google ML Certificate, AWS Certified",65063,Austin,Software Developer,"SQL, Machine Learning, Node.js",9,Looking for a motivated individual with strong technical and problem-solving skills.,98097,113635,Seattle,0
"TensorFlow, AWS, NLP, React, Python, Pandas",3,PhD,Software Developer,DataCamp DS,61493,Austin,ML Engineer,"NLP, Node.js, TensorFlow, AWS, SQL",4,Looking for a motivated individual with strong technical and problem-solving skills.,69826,150880,Remote,0
"SQL, Machine Learning, Docker, Java, Node.js, Python",8,High School,"Backend Engineer, AI Researcher",AWS Certified,137987,Seattle,Software Developer,"AWS, Python, NLP",1,Looking for a motivated individual with strong technical and problem-solving skills.,70570,135013,Seattle,0
"Python, Docker, TensorFlow, Deep Learning, Kubernetes",11,Bachelor's,"AI Researcher, Backend Engineer",None,120362,San Francisco,Data Scientist,"SQL, Data Analysis, React",2,Looking for a motivated individual with strong technical and problem-solving skills.,80780,106524,Remote,0
"NLP, Python, Deep Learning, TensorFlow, AWS, Docker",12,Bachelor's,Backend Engineer,Coursera NLP,148105,Remote,ML Engineer,"TensorFlow, AWS, Java",8,Looking for a motivated individual with strong technical and problem-solving skills.,75888,114096,Seattle,0
"Kubernetes, Pandas, Java",7,High School,Software Developer,"None, Coursera NLP",74527,Austin,Backend Engineer,"Docker, Node.js, Java, NLP, Pandas",10,Looking for a motivated individual with strong technical and problem-solving skills.,86168,131619,New York,0
"Data Analysis, SQL, Python, NLP, Pandas, Machine Learning",12,High School,Backend Engineer,"Coursera NLP, Google ML Certificate",132199,New York,Data Scientist,"SQL, Kubernetes, Python, React",3,Looking for a motivated individual with strong technical and problem-solving skills.,95499,112393,Seattle,0
"NLP, Deep Learning, SQL, React, Node.js, Kubernetes",9,Bachelor's,AI Researcher,Coursera NLP,117560,Austin,Software Developer,"Python, Kubernetes, Node.js, NLP",10,Looking for a motivated individual with strong technical and problem-solving skills.,68866,113192,Seattle,0
"AWS, Pandas, NLP, Node.js, Kubernetes",6,PhD,Data Scientist,"None, Google ML Certificate",112265,New York,Backend Engineer,"React, Node.js, AWS, Pandas, Machine Learning",10,Looking for a motivated individual with strong technical and problem-solving skills.,77245,154398,San Francisco,0
"Pandas, Java, TensorFlow, Python, Machine Learning",0,Master's,AI Researcher,DataCamp DS,74986,Austin,ML Engineer,"Kubernetes, Java, Docker, React",3,Looking for a motivated individual with strong technical and problem-solving skills.,77931,106651,New York,0
"Data Analysis, Machine Learning, Docker, Node.js, Java, Kubernetes",11,Bachelor's,Data Scientist,"AWS Certified, None",63785,Seattle,Software Developer,"Kubernetes, Node.js, NLP",6,Looking for a motivated individual with strong technical and problem-solving skills.,87405,147279,New York,0
"SQL, TensorFlow, AWS, Python",3,Bachelor's,Backend Engineer,"DataCamp DS, AWS Certified",79543,New York,ML Engineer,"Node.js, Deep Learning, Docker",6,Looking for a motivated individual with strong technical and problem-solving skills.,80383,129489,Remote,0
"AWS, SQL, Kubernetes, Data Analysis",5,High School,"Software Developer, Backend Engineer",None,51887,New York,ML Engineer,"Kubernetes, Docker, React",0,Looking for a motivated individual with strong technical and problem-solving skills.,90034,149243,Seattle,0
"Node.js, AWS, Kubernetes",7,Bachelor's,"Backend Engineer, AI Researcher","Google ML Certificate, DataCamp DS",126220,New York,Software Developer,"NLP, Pandas, TensorFlow, Machine Learning",8,Looking for a motivated individual with strong technical and problem-solving skills.,66039,113693,Seattle,0
"Machine Learning, Pandas, Data Analysis",1,High School,"Software Developer, AI Researcher","Google ML Certificate, AWS Certified",127102,Remote,ML Engineer,"SQL, React, Docker, NLP, Java",9,Looking for a motivated individual with strong technical and problem-solving skills.,75581,132030,San Francisco,0
"Data Analysis, Docker, Python, Pandas",3,Bachelor's,"Backend Engineer, ML Engineer",AWS Certified,69178,Austin,AI Researcher,"Data Analysis, Docker, Machine Learning, React, Node.js",9,Looking for a motivated individual with strong technical and problem-solving skills.,79228,158345,Remote,0
"Data Analysis, Java, Machine Learning, Deep Learning, SQL",11,PhD,"Backend Engineer, ML Engineer","AWS Certified, Google ML Certificate",55007,Remote,Software Developer,"AWS, React, Java",8,Looking for a motivated individual with strong technical and problem-solving skills.,94553,104000,Austin,0
"Docker, Kubernetes, Python, Pandas",8,Master's,"Backend Engineer, AI Researcher",Coursera NLP,129139,San Francisco,AI Researcher,"AWS, NLP, Pandas, React",10,Looking for a motivated individual with strong technical and problem-solving skills.,90001,106405,Seattle,0
"Pandas, Java, Docker",1,PhD,"ML Engineer, Software Developer","AWS Certified, None",88177,Austin,Software Developer,"Machine Learning, NLP, AWS, React",6,Looking for a motivated individual with strong technical and problem-solving skills.,76517,123636,Austin,0
"Java, Python, Node.js",10,Master's,Software Developer,"Google ML Certificate, None",144995,Remote,Data Scientist,"Deep Learning, TensorFlow, SQL",5,Looking for a motivated individual with strong technical and problem-solving skills.,62123,101835,Remote,0
"AWS, Kubernetes, Docker, Pandas",1,PhD,Backend Engineer,"None, DataCamp DS",117752,Seattle,Software Developer,"Pandas, TensorFlow, Python",6,Looking for a motivated individual with strong technical and problem-solving skills.,88622,115987,New York,0
"Pandas, TensorFlow, React, Data Analysis, NLP",6,Bachelor's,"Backend Engineer, AI Researcher",DataCamp DS,66118,New York,Backend Engineer,"NLP, Machine Learning, Data Analysis, TensorFlow",7,Looking for a motivated individual with strong technical and problem-solving skills.,78976,109039,Remote,0
"NLP, Machine Learning, Kubernetes, SQL, Data Analysis",11,High School,"Software Developer, AI Researcher","None, Coursera NLP",59641,Austin,Backend Engineer,"Kubernetes, Machine Learning, Docker, Pandas",6,Looking for a motivated individual with strong technical and problem-solving skills.,81161,100405,New York,0
"Node.js, Data Analysis, Docker",11,PhD,"Data Scientist, Software Developer","Coursera NLP, Google ML Certificate",83852,San Francisco,Backend Engineer,"Pandas, Docker, Data Analysis",1,Looking for a motivated individual with strong technical and problem-solving skills.,73809,156104,New York,0
"Machine Learning, Node.js, Python",2,Bachelor's,"ML Engineer, Software Developer","DataCamp DS, None",78262,Seattle,Data Scientist,"Python, Machine Learning, Pandas, NLP, Data Analysis",9,Looking for a motivated individual with strong technical and problem-solving skills.,78205,120436,New York,0
"Kubernetes, Java, AWS, Data Analysis, TensorFlow, Deep Learning",0,High School,Software Developer,"AWS Certified, Google ML Certificate",101771,Austin,Software Developer,"Python, Machine Learning, Pandas",8,Looking for a motivated individual with strong technical and problem-solving skills.,87963,157938,New York,0
"TensorFlow, Pandas, Data Analysis, React, Java",11,Master's,"ML Engineer, Data Scientist","Google ML Certificate, None",122256,Remote,Data Scientist,"AWS, React, Deep Learning, Pandas",3,Looking for a motivated individual with strong technical and problem-solving skills.,63656,122465,New York,0
"TensorFlow, AWS, Data Analysis, Docker, Deep Learning, React",5,Bachelor's,"AI Researcher, Data Scientist",Coursera NLP,59857,Seattle,Backend Engineer,"NLP, Deep Learning, Data Analysis, Python",5,Looking for a motivated individual with strong technical and problem-solving skills.,64636,152380,San Francisco,0
"Kubernetes, Docker, NLP",7,PhD,"Backend Engineer, AI Researcher","Coursera NLP, None",106752,New York,ML Engineer,"AWS, Node.js, TensorFlow, Pandas",0,Looking for a motivated individual with strong technical and problem-solving skills.,71447,141278,Austin,0
"Kubernetes, Java, NLP, Deep Learning, AWS",8,PhD,"Software Developer, Data Scientist",AWS Certified,74878,New York,Data Scientist,"AWS, Data Analysis, Python, Deep Learning, Java",8,Looking for a motivated individual with strong technical and problem-solving skills.,80206,146081,San Francisco,0
"Deep Learning, React, Java, Data Analysis, AWS, SQL",3,PhD,"ML Engineer, AI Researcher","None, Coursera NLP",136137,New York,Software Developer,"AWS, Java, TensorFlow, NLP, SQL",3,Looking for a motivated individual with strong technical and problem-solving skills.,71188,114878,San Francisco,0
"Data Analysis, Docker, Pandas, Java, SQL",4,High School,"Backend Engineer, ML Engineer","Google ML Certificate, Coursera NLP",145491,New York,Backend Engineer,"Data Analysis, Python, Node.js, Java",2,Looking for a motivated individual with strong technical and problem-solving skills.,63950,131080,San Francisco,0
"TensorFlow, NLP, Java, AWS, Kubernetes, Python",4,Master's,"Backend Engineer, Software Developer","AWS Certified, Google ML Certificate",55770,San Francisco,Software Developer,"Node.js, Deep Learning, TensorFlow",9,Looking for a motivated individual with strong technical and problem-solving skills.,81633,112801,Remote,0
"Docker, NLP, Java, Pandas, Data Analysis, TensorFlow",2,PhD,"ML Engineer, Backend Engineer",Google ML Certificate,66898,San Francisco,AI Researcher,"TensorFlow, NLP, Docker, Kubernetes",9,Looking for a motivated individual with strong technical and problem-solving skills.,96277,148101,Austin,0
"NLP, Docker, TensorFlow, AWS, Pandas",8,Bachelor's,Backend Engineer,DataCamp DS,94806,New York,AI Researcher,"Docker, Python, React",10,Looking for a motivated individual with strong technical and problem-solving skills.,78740,146500,Seattle,0
"Data Analysis, TensorFlow, Pandas, AWS, Kubernetes, Python",6,PhD,AI Researcher,AWS Certified,108819,Remote,AI Researcher,"AWS, Kubernetes, NLP, Machine Learning",7,Looking for a motivated individual with strong technical and problem-solving skills.,89515,117417,New York,0
"SQL, Docker, TensorFlow, Deep Learning, AWS",8,PhD,"AI Researcher, ML Engineer","Google ML Certificate, Coursera NLP",76913,Remote,ML Engineer,"Deep Learning, TensorFlow, Data Analysis",10,Looking for a motivated individual with strong technical and problem-solving skills.,73473,141412,Remote,0
"Python, Docker, Machine Learning",10,Bachelor's,"Backend Engineer, ML Engineer","AWS Certified, Coursera NLP",139194,San Francisco,ML Engineer,"Node.js, Python, Docker, Pandas, Deep Learning",9,Looking for a motivated individual with strong technical and problem-solving skills.,60591,109479,San Francisco,0
